Step,Word,Categories
1,pony,"DOMESTIC, animal, beasts_of_burden, farm_animals"
2,donkey,"DOMESTIC, animal, beasts_of_burden, farm_animals"
3,sheep,"DOMESTIC, animal, farm_animals"
4,spider,"DOMESTIC, animal, farm_animals"
5,sheep,"DOMESTIC, animal, farm_animals"
6,snake,"DOMESTIC, animal, farm_animals, reptiles_amphibians"
7,rooster,"DOMESTIC, animal, farm_animals"
8,sheep,"DOMESTIC, animal, farm_animals"
9,spider,"DOMESTIC, animal, farm_animals"
10,mule,"DOMESTIC, animal, beasts_of_burden, farm_animals"
11,ass,"DOMESTIC, animal, beasts_of_burden, farm_animals"
12,pig,"DOMESTIC, animal, farm_animals"
13,ass,"DOMESTIC, animal, beasts_of_burden, farm_animals"
14,spider,"DOMESTIC, animal, farm_animals"
15,hog,"DOMESTIC, animal, farm_animals"
16,sheep,"DOMESTIC, animal, farm_animals"
17,chick,"DOMESTIC, animal, farm_animals"
18,donkey,"DOMESTIC, animal, beasts_of_burden, farm_animals"
19,pig,"DOMESTIC, animal, farm_animals"
20,kid,"DOMESTIC, animal, farm_animals"
21,snake,"DOMESTIC, animal, farm_animals, reptiles_amphibians"
22,lamb,"DOMESTIC, animal, farm_animals"
23,rooster,"DOMESTIC, animal, farm_animals"
24,pony,"DOMESTIC, animal, beasts_of_burden, farm_animals"
25,chick,"DOMESTIC, animal, farm_animals"
26,ram,"DOMESTIC, animal, farm_animals"
27,donkey,"DOMESTIC, animal, beasts_of_burden, farm_animals"
28,mare,"DOMESTIC, animal, beasts_of_burden, farm_animals"
29,mule,"DOMESTIC, animal, beasts_of_burden, farm_animals"
30,kid,"DOMESTIC, animal, farm_animals"
31,pony,"DOMESTIC, animal, beasts_of_burden, farm_animals"
32,chick,"DOMESTIC, animal, farm_animals"
33,sheep,"DOMESTIC, animal, farm_animals"
34,hog,"DOMESTIC, animal, farm_animals"
35,sheep,"DOMESTIC, animal, farm_animals"
36,lamb,"DOMESTIC, animal, farm_animals"
37,rooster,"DOMESTIC, animal, farm_animals"
38,ram,"DOMESTIC, animal, farm_animals"
39,sheep,"DOMESTIC, animal, farm_animals"
40,mule,"DOMESTIC, animal, beasts_of_burden, farm_animals"
41,stallion,"DOMESTIC, animal, farm_animals"
42,chick,"DOMESTIC, animal, farm_animals"
43,mule,"DOMESTIC, animal, beasts_of_burden, farm_animals"
44,colt,"DOMESTIC, animal, beasts_of_burden, farm_animals"
45,goat,"DOMESTIC, animal, farm_animals"
46,animal,animal
47,cougar,"FAMILY, REGION, animal, feline, north_american_animals"
48,animal,animal
49,smelt,"animal, fish"
50,shark,"animal, fish, water_animals"
51,mussel,"animal, water_animals"
52,oyster,"animal, water_animals"
53,goose,"animal, water_animals"
54,snail,"animal, water_animals"
55,coral,"animal, water_animals"
56,scallop,"animal, water_animals"
57,shark,"animal, fish, water_animals"
58,jack,"animal, fish"
59,bass,"animal, fish"
60,shark,"animal, fish, water_animals"
61,goose,"animal, water_animals"
62,clam,"animal, water_animals"
63,otter,"animal, water_animals, weasels"
64,lobster,"animal, water_animals"
65,fish,"animal, fish, water_animals"
66,bass,"animal, fish"
67,jack,"animal, fish"
68,shark,"animal, fish, water_animals"
69,scallop,"animal, water_animals"
70,frog,"animal, reptiles_amphibians, water_animals"
