step,word,categories,irt,associative_patch_switch,categorical_patch_switch,patch_entry_position
1,monkey,"african_animals, primates",0.0,1,1,1
2,orangatan,primates,0.5,0,0,2
3,bonobo,primates,0.5,0,0,3
4,giraffe,african_animals,0.5,1,1,1
5,elephant,african_animals,0.5,0,0,2
6,zebra,african_animals,0.5,0,0,3
7,dog,"canine, pets",0.5,1,1,1
8,cat,"feline, pets",0.5,0,0,2
9,mouse,rodents,1.0,1,1,1
10,rat,rodents,0.1,0,0,2
11,bird,birds,4.0,1,1,1
12,bluejay,birds,1.5,0,0,2
13,falcon,birds,1.0,0,0,3
14,eagle,birds,0.1,0,0,4
15,hawk,birds,0.1,0,0,5
16,fish,"fish, water_animals",3.0,1,1,1
17,shark,"fish, water_animals",0.1,0,0,2
18,whale,water_animals,0.5,0,0,3
19,dolphin,"insects, water_animals",0.5,0,0,4
20,narwhal,water_animals,0.5,0,0,5
21,lion,"african_animals, feline",2.5,1,1,1
22,cheetah,"african_animals, feline",0.5,0,0,2
23,tiger,"african_animals, feline",0.5,0,0,3
24,leopard,"african_animals, feline",1.0,0,0,4
25,jaguar,feline,4.0,0,0,5
26,horse,"beasts_of_burden, farm_animals",1.5,1,1,1
27,cow,"bovine, farm_animals",1.0,0,0,2
28,pig,farm_animals,0.1,0,0,3
29,duck,birds,1.0,1,1,1
30,goose,water_animals,0.5,1,1,1
31,polar bear,arctic_far_north_animals,4.5,1,1,1
32,penguin,"arctic_far_north_animals, birds, water_animals",0.5,0,0,2
33,brown bear,north_american_animals,1.5,1,1,1
34,black bear,north_american_animals,0.1,0,0,2
35,snake,"farm_animals, reptiles_amphibians",8.0,1,1,1
36,iguana,reptiles_amphibians,1.5,0,0,2
37,lizard,reptiles_amphibians,1.0,0,0,3
38,chameleon,"african_animals, reptiles_amphibians",2.0,0,0,4
39,gazelle,"african_animals, deers",3.0,0,1,5
40,donkey,"beasts_of_burden, farm_animals",10.0,1,1,1
41,mule,"beasts_of_burden, farm_animals",0.5,0,0,2
42,ox,beasts_of_burden,0.1,0,0,3
43,panda,,3.0,1,1,1
44,salmon,fish,7.0,1,1,1
45,chimpanzee,"african_animals, primates",12.5,1,1,1
46,rhinocerous,african_animals,7.0,0,0,2
47,hippotomous,water_animals,1.5,1,1,1
48,kangaroo,australian_animals,9.0,1,1,1
49,spider,farm_animals,2.0,1,1,1
50,beetle,insects,6.0,1,1,1
51,flamingo,birds,8.5,1,1,1
52,hyena,"african_animals, canine",7.0,1,1,1
53,vulture,birds,3.0,1,1,1
54,guinea pig,"pets, rodents",11.0,1,1,1
55,hamster,"pets, rodents",2.5,0,0,2
